title,year,name,type,character,n
Archon Defender,2009,Kevin A.,actor,Iasius,11
Archon Defender,2009,Kevin A.,actor,Archon Rem,11
Archon Defender,2009,Kevin A.,actor,Monk,11
Ma 6-T va crack-er,1997,Lionel A.,actor,Emeutier,85
Ma 6-T va crack-er,1997,Mohamed A.,actor,Emeutier,86
Ma 6-T va crack-er,1997,Mustapha A.,actor,Emeutier,83
Ma 6-T va crack-er,1997,Nordine A.,actor,Emeutier,90
Di Renjie: Shen du long wang,2013,Nuo A.,actor,Tuoba Lie's Man,24
Pelli Chesi Choodu,1988,Prasad A.,actor,RaviKumar,8
Alone in This House,2013,Randy A.,actor,Evil Creature,
Alone in This House,2013,Randy A.,actor,Homeowner,
Anthology of Horror 2,2015,Sergey A.,actor,Maniac,
Anthology of Horror 2,2015,Sergey A.,actor,Man,
Anthology of Horror 2,2015,Sergey A.,actor,Victim,
Anthology of Horror 2,2015,Sergey A.,actor,Vadim,
Anthology of Horror 3,2016,Sergey A.,actor,Sergey,
Anthology of Horror 3,2016,Sergey A.,actor,Victim,
Antologiya uzhasov,2014,Sergey A.,actor,Victim,
Antologiya uzhasov,2014,Sergey A.,actor,Man,
Antologiya uzhasov,2014,Sergey A.,actor,Hand,
Antologiya uzhasov,2014,Sergey A.,actor,Angel,
Balka Illi,2015,Sergey A.,actor,Pavel,
Baykalskiy intsident. Skrytaya ugroza,2014,Sergey A.,actor,Svidetel,
Bloody Diarhea,2015,Sergey A.,actor,Man with knife,
Cemetery Legend,2015,Sergey A.,actor,Andrey,
Inter Star Wars: The Awaking Force,2015,Sergey A.,actor,Volodya,
Inter Star Wars: The Awaking Force,2015,Sergey A.,actor,Vade Dartus,
Interstelar,2014,Sergey A.,actor,Sergey Sergeevich,
Interstelar 2: Operation Terra 2040,2016,Sergey A.,actor,Sergey Sergeevich,
Jaws 19,2015,Sergey A.,actor,Roman Smirnov,
Mystery of Faceless Man: History of Monster,2016,Sergey A.,actor,Sergey Lvov,
Otel mertvetsov,2013,Sergey A.,actor,Sergey,
Rise of the Dark,2015,Sergey A.,actor,Ghost,
